,Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context,Example source,grammatical_categories
125,,еинхИ,,Ихние, ,"басурмангеры еще ладно, умные люди. ",Виктор Пелевин. S.N.U.F.F (2011),Виктор Пелевин,1962,S.N.U.F.F,2011,художественная,роман,,В. Пелевин. S.N.U.F.F,2012,книга,омонимия снята автоматически,"Ихние басурмангеры еще ладно, умные люди. ",23559:1370:0,anim plur 
126, от-ещбооВ,йинхи,Вообще-то ,ихний, ,smart free speech не для слабых,Виктор Пелевин. S.N.U.F.F (2011),Виктор Пелевин,1962,S.N.U.F.F,2011,художественная,роман,,В. Пелевин. S.N.U.F.F,2012,книга,омонимия снята автоматически,Вообще-то ихний smart free speech не для слабых умов. ,23559:8184:2,
127," есв ,макчоторис есв ,ежоб исапу ,ьтищат",еенхи,"тащить, упаси боже, все сироточкам, все ",ихнее,. ,,Дина Сабитова. Где нет зимы (2011),Дина Сабитова,1969,Где нет зимы,2011,художественная,повесть,,Д. Р. Сабитова. Цирк в шкатулке,2007,книга,омонимия снята автоматически,"Я ж не то что из дому чего тащить, упаси боже, все сироточкам, все ихнее. ",19516:2016:14,
128, онвар есв момод доп ялмез И,яянхи,И земля под домом все равно ,ихняя, -- ,сиротская. ,Дина Сабитова. Где нет зимы (2011),Дина Сабитова,1969,Где нет зимы,2011,художественная,повесть,,Д. Р. Сабитова. Цирк в шкатулке,2007,книга,омонимия снята автоматически,И земля под домом все равно ихняя -- сиротская. ,19516:2037:6,
129, анО,яянхи,Она ,ихняя,. ,,"Шура Буртин, Зелимхан Читигов. Сто часов в аду // «Русский репортер», № 37 (215), 22 сентября 2011","Шура Буртин, Зелимхан Читигов",,Сто часов в аду,2011,публицистика | нехудожественная,интервью,армия и вооруженные конфликты | право | криминал | администрация и управление,"«Русский репортер», № 37 (215), 22 сентября 2011",2011,журнал,омонимия снята автоматически,Она ихняя. ,54817:501:1,
130, ямеС,еенхи,Семя ,ихнее, ,"разорить надо, -- сказала тогда Катюша и","В. А. Ярмолинец. Одесский узел Шкловского // «Волга», 2011",В. А. Ярмолинец,1958,Одесский узел Шкловского,2011,публицистика | нехудожественная,рецензия,искусство и культура,«Волга»,2011,журнал,омонимия снята автоматически,"Семя ихнее разорить надо, -- сказала тогда Катюша и разогнулась над чепцами, -- семя ихнее я не могу навидеть и мужчин их вонючих… ",61722:317:1,anim sing femn
131," ямес -- ,имацпеч дан ьсалунгозар и ашютаК",еенхи,"Катюша и разогнулась над чепцами, -- семя ",ихнее, ,я не могу навидеть и мужчин,"В. А. Ярмолинец. Одесский узел Шкловского // «Волга», 2011",В. А. Ярмолинец,1958,Одесский узел Шкловского,2011,публицистика | нехудожественная,рецензия,искусство и культура,«Волга»,2011,журнал,омонимия снята автоматически,"Семя ихнее разорить надо, -- сказала тогда Катюша и разогнулась над чепцами, -- семя ихнее я не могу навидеть и мужчин их вонючих… ",61722:317:12,anim plur masc
132," как ,ладив десос йом он ,теН",йинхи,"Нет, но мой сосед видал, как ",ихний, ,кухарь нюхал!» ,Форум: Остеопатия (2011),коллективный,,Форум: Остеопатия,2011,электронная коммуникация | нехудожественная,форум,здоровье и медицина | администрация и управление,http://forums.rusmedserv.com/archive/index.php/t-181238,,электронный текст,омонимия снята автоматически,"Сразу вспоминается: «Ох, и сладки гусиные лапки!» «А ты что, их едал?» «Нет, но мой сосед видал, как ихний кухарь нюхал!» ",24976:183:18,anim sing masc
133, еокен отэ оН,еенхи,Но это некое ,ихнее, ,благородство. ,Форум: Этнопсихология. Турки (2010-2011),коллективный,,Форум: Этнопсихология. Турки,2010-2011,электронная коммуникация | нехудожественная,форум,частная жизнь | политика и общественная жизнь,http://www.balto-slavica.com/post1950/forum/index.php?showtopic=4140,,электронный текст,омонимия снята автоматически,Но это некое ихнее благородство. ,25000:138:3,inan sing neut
134, уксип оп Я,уменхи,Я по писку ,ихнему, ,гнездо нашел. ,М.C. Аромштам. Мохнатый ребенок (2010),М.C. Аромштам,1960,Мохнатый ребенок,2010,художественная,повесть,,"Аромштам, Марина. Мохнатый ребёнок: истории о людях и животных",2010,книга,омонимия снята автоматически,Я по писку ихнему гнездо нашел. ,19432:4115:3,inan sing neut
135," еоннасипан ,укйах еокснопя еонниратс или вецйаз",иминхи,"зайцев или старинное японское хайку, написанное ",ихними, ,лохматыми буквами. ,Михаил Бару. Записки понаехавшего (2010),Михаил Бару,1958,Записки понаехавшего,2010,художественная,записки,,Михаил Бару. Записки понаехавшего,2010,книга,омонимия снята автоматически,"Вроде как семья солнечных зайцев или старинное японское хайку, написанное ихними лохматыми буквами. ",22222:1431:10,inan plur femn
136," илахеирп ,ьталсоп иланзу янем ,убатш в",яянхи,"в штабу, меня узнали послать, приехали ",ихняя, ,"жена? -- путаясь от волнения, скороговоркой выпалил","Вацлав Михальский. Река времен. Ave Maria // Октябрь, 2010",Вацлав Михальский,1938,Река времен. Ave Maria,2010,художественная,роман,,Октябрь,2010,журнал,омонимия снята автоматически,"Товарищ адмирал… я новый вестовой… товарищ адмирал на сутки дежурить заступили в штабу, меня узнали послать, приехали ихняя жена? -- путаясь от волнения, скороговоркой выпалил вестовой. ",23360:239:17,anim sing femn
137," :уларимда йадереп и кат -- ,арднаскелА алачевто",яянхи,"отвечала Александра, -- так и передай адмиралу: ",ихняя, ,жена приехали! ,"Вацлав Михальский. Река времен. Ave Maria // Октябрь, 2010",Вацлав Михальский,1938,Река времен. Ave Maria,2010,художественная,роман,,Октябрь,2010,журнал,омонимия снята автоматически,"Приехали, -- неожиданно подбоченясь, отвечала Александра, -- так и передай адмиралу: ихняя жена приехали! ",23360:240:9,anim sing femn
138, хытявс яатявс в ясьтунгротв илунзреД,йенхи,Дерзнули вторгнуться в святая святых ,ихней, ,идентичности. ,"Денис Драгунский. Прошлое одной иллюзии // «Частный корреспондент», 2010",Денис Драгунский,1950,Прошлое одной иллюзии,2010,публицистика | нехудожественная,статья,политика и общественная жизнь,«Частный корреспондент»,2010,электронное издание,омонимия снята автоматически,Дерзнули вторгнуться в святая святых ихней идентичности. ,54098:31:5,inan sing femn
139, атчоп и онасипо ошорох есв маТ,яянхи,Там все хорошо описано и почта ,ихняя,", ","напишите, ответят и договоритесь. ",Форум: Искусственный декоративный камень (2009-2011),коллективный,,Форум: Искусственный декоративный камень,2009-2011,электронная коммуникация | нехудожественная,форум,"производство | бизнес, коммерция, экономика, финансы",,2009-2011,электронный текст,омонимия снята автоматически,"Наберите: [ссылка] Там все хорошо описано и почта ихняя, напишите, ответят и договоритесь. ",25254:1021:7,
140, ьтсЕ,еенхи,Есть ,ихнее, ,в Москве -- не знаю. ,Форум: Искусственный декоративный камень (2009-2011),коллективный,,Форум: Искусственный декоративный камень,2009-2011,электронная коммуникация | нехудожественная,форум,"производство | бизнес, коммерция, экономика, финансы",,2009-2011,электронный текст,омонимия снята автоматически,Есть ихнее в Москве -- не знаю. ,25254:1022:1,inan sing femn
141," а ,тюему ен ишан ,онреван ,липут",еинхи,"тупил, наверно, наши не умеют, а ",ихние, ,не понимают чем смешить наш народ. ,Форум: ПрожекторПерисХилтон (2009-2011),коллективный,,Форум: ПрожекторПерисХилтон,2009-2011,электронная коммуникация | нехудожественная,форум,"досуг, зрелища и развлечения",Интернет,,электронный текст,омонимия снята автоматически,"Да даже дело не в наших знаменитостях, ведь Грант тоже тупил, наверно, наши не умеют, а ихние не понимают чем смешить наш народ. ",25233:299:16,inan sing masc
142, ыб ечанИ,йинхи,Иначе бы ,ихний, ,фонд и компьютеры эти захапал. ,Андрей Геласимов. Дом на Озерной (2009),Андрей Геласимов,1966,Дом на Озерной,2009,художественная,роман,,А. Геласимов. Дом на Озерной,2009,книга,омонимия снята автоматически,Иначе бы ихний фонд и компьютеры эти захапал. ,22742:4241:2,inan sing masc
143," ,тувиж икиншолсик -- ,йокур но левоп -- ,гурков",йинхи,"вокруг, -- повел он рукой, -- кислошники живут, ",ихний, ,посад. ,Николай Дежнев. Принцип неопределенности (2009),Николай Дежнев,1946,Принцип неопределенности,2009,художественная,роман,,Дежнев Николай. Принцип неопределенности,2009,книга,омонимия снята автоматически,"Здесь вокруг, -- повел он рукой, -- кислошники живут, ихний посад. ",22512:1718:7,inan sing masc
144," отч ,илавызакссар ыдйорБ тов А",яянхи,"А вот Бройды рассказывали, что ",ихняя, ,бабка слышала то-то так-то и,Александр Иличевский. Перс (2009),Александр Иличевский,1970,Перс,2009,художественная,роман,,Александр Иличевский. Перс,2010,книга,омонимия снята автоматически,"А вот Бройды рассказывали, что ихняя бабка слышала то-то так-то и так-то». ",22912:5422:5,anim sing femn
145, -- ьтремС,йинхи,Смерть -- ,ихний, ,"любимчик, они с ним носятся прямо","Мариам Петросян. Дом, в котором... (2009)",Мариам Петросян,1969,"Дом, в котором...",2009,художественная,роман,,"Мариам Петросян. Дом, в котором…",2009,книга,омонимия снята автоматически,"Смерть -- ихний любимчик, они с ним носятся прямо как не знаю с чем. ",23581:5690:1,anim sing masc
146, еикак орп ин илавихылс ен мохылс,еинхи,слыхом не слыхивали ни про какие ,ихние, ,значки. ,"Мариам Петросян. Дом, в котором... (2009)",Мариам Петросян,1969,"Дом, в котором...",2009,художественная,роман,,"Мариам Петросян. Дом, в котором…",2009,книга,омонимия снята автоматически,А мы слыхом не слыхивали ни про какие ихние значки. ,23581:11174:8,inan plur masc
147, тюанзопсар и каТ,огенхи,Так и распознают ,ихнего, ,брата. ,"Мариам Петросян. Дом, в котором... (2009)",Мариам Петросян,1969,"Дом, в котором...",2009,художественная,роман,,"Мариам Петросян. Дом, в котором…",2009,книга,омонимия снята автоматически,Так и распознают ихнего брата. ,23581:18848:3,anim sing masc
148, йероБ с ...тюашалгирп ябет уцинарг аЗ,минхи,За границу тебя приглашают... с Борей ,ихним, ,поехать. ,"В. А. Мухарьямов. Брагины // «Волга», 2009",В. А. Мухарьямов,1948,Брагины,2009,художественная,повесть,,«Волга»,2009,журнал,омонимия снята автоматически,За границу тебя приглашают... с Борей ихним поехать. ,61577:1346:6,
149," от-ток ,юровог я каТ",йинхи,"Так я говорю, кот-то ",ихний,... ,помер нынче. ,"В. А. Мухарьямов. Брагины // «Волга», 2009",В. А. Мухарьямов,1948,Брагины,2009,художественная,повесть,,«Волга»,2009,журнал,омонимия снята автоматически,"Так я говорю, кот-то ихний... помер нынче. ",61577:1431:5,
150," ,юифосолиф юовс иласип икдерп иом адгок",еинхи,"когда мои предки писали свою философию, ",ихние, ,еще лазили по деревьям». ,"Борис Чухович. Памятник Независимости. Мифология сферы и дискурсы власти // «Неприкосновенный запас», 2009",Борис Чухович,1962,Памятник Независимости. Мифология сферы и дискурсы власти,2009,публицистика | нехудожественная,статья,политика и общественная жизнь | искусство и культура,«Неприкосновенный запас»,2009,журнал,омонимия снята автоматически,"Вспомним, например, «Большую греческую свадьбу», протагонист которой гордится тем, что «в те времена, когда мои предки писали свою философию, ихние еще лазили по деревьям». ",57108:51:19,inan plur neut
151, утэ орп ланз еж ыт уН,ююнхи,Ну ты же знал про эту ,ихнюю, ,географию! ,Андрей Геласимов. Степные боги (2008),Андрей Геласимов,1966,Степные боги,2008,художественная,роман,,А. Геласимов. Степные боги,2008,книга,омонимия снята автоматически,"Петька потом сильно ругал Валерку за то, что тот его не предупредил: «Ну ты же знал про эту ихнюю географию! ",22741:2630:18,inan sing femn
152," ногомас а ,ондо отэ -- от-ыцнакирема",йинхи,"американцы-то -- это одно, а самогон ",ихний, -- ,это уже совсем другое… ,Андрей Геласимов. Степные боги (2008),Андрей Геласимов,1966,Степные боги,2008,художественная,роман,,А. Геласимов. Степные боги,2008,книга,омонимия снята автоматически,"Так, американцы-то -- это одно, а самогон ихний -- это уже совсем другое… ",22741:4457:7,
153, ястижуранбо и адгот тоВ,йинхи,Вот тогда и обнаружится ,ихний, ,секрет» 13. ,"Николай Греков. Вражина наслал «огненный шар» // «Родина», 2008",Николай Греков,,Вражина наслал «огненный шар»,2008,публицистика | нехудожественная,статья,история | армия и вооруженные конфликты,«Родина»,2008,журнал,омонимия снята автоматически,Вот тогда и обнаружится ихний секрет» 13. ,39250:93:4,inan sing masc
154," юсв орп и ,уктсевен орп и",ююнхи,"и про невестку, и про всю ",ихнюю, ,жизнь. ,"Борис Екимов. Предполагаем жить // «Новый мир», 2008",Борис Екимов,1938,Предполагаем жить,2008,художественная,повесть,,«Новый мир»,2008,журнал,омонимия снята автоматически,"Про несчастье, и про невестку, и про всю ихнюю жизнь. ",24754:3139:8,inan sing femn
155," ясбишо от-как ,омидив ,тов И",йинхи,"И вот, видимо, как-то ошибся ",ихний, ,минер. ,"А. А. Ломтев. Фугас // «Волга», 2008",А. А. Ломтев,1956,Фугас,2008,художественная,рассказ,,«Волга»,2008,журнал,омонимия снята автоматически,"И вот, видимо, как-то ошибся ихний минер. ",61519:92:5,anim sing masc
156,"« огонтянопен-ещюунлов огокат огокясв и ,»анасин ацясем",огенхи,"месяца нисана», и всякого такого волнующе-непонятного «",ихнего,». ,,Марина Палей. Дань саламандре (2008),Марина Палей,1955,Дань саламандре,2008,художественная,роман,,Марина Палей. Дань саламандре,2012,книга,омонимия снята автоматически,"Во время нашего релаксационного раздора девочка, видимо, не получила от своих вскриков того удовлетворения, на которое подспудно рассчитывала, -- и вот ей захотелось всего, что в романе: и «месяца нисана», и всякого такого волнующе-непонятного «ихнего». ",23526:1993:33,
157,-огешав-огешан икжреддоп ерут в ьсалатак,огенхи,каталась в туре поддержки нашего-вашего-,ихнего, ,президента и правящей партии. ,Герман Садулаев. Таблетка (2008),Герман Садулаев,1973,Таблетка,2008,художественная,рассказ,,Герман Садулаев. Таблетка,2008,книга,омонимия снята автоматически,Или вместе с той же оголтелой попсой каталась в туре поддержки нашего-вашего-ихнего президента и правящей партии. ,23834:652:13,anim sing masc
158," в ,мат жу онвад ьчод а",йенхи,"а дочь давно уж там, в ",ихней, ,"столице, в Кызыле, жила. ","Роман Сенчин. Елтышевы (2008) // «Дружба Народов», 2009",Роман Сенчин,1971,Елтышевы,2008,художественная,роман,,«Дружба Народов»,2009,журнал,омонимия снята автоматически,"У меня сын с семьей при мне, а дочь давно уж там, в ихней столице, в Кызыле, жила. ",23901:1156:13,inan sing femn
159, акбаБ,яянхи,Бабка ,ихняя, ,"давно чокнулась, в дурдом хотели отправить","Александр Титов. Путники в ночи // «Волга», 2008",Александр Титов,1950,Путники в ночи,2008,художественная,повесть,,«Волга»,2008,журнал,омонимия снята автоматически,"Бабка ихняя давно чокнулась, в дурдом хотели отправить, Прохор Самсоныч не разрешил… ",61487:559:1,inan sing masc
160, оготэ ялытом …мат ялетом ьдубин-огокак од,огенхи,до какого-нибудь мотеля там… мотыля этого ,ихнего,… ,"гармонь в руки, Сажечку и давай","Алексей Шепелев. Кгыышфт Вшытундф-ТВ (2008) // «Волга», 2011",Алексей Шепелев,,Кгыышфт Вшытундф-ТВ,2008,художественная,повесть,,«Волга»,2011,журнал,омонимия снята автоматически,"А мне-то плясать охота, бутылка уж в «Камазе» лежит початая, уж прям думаю-представляю: щас прям до ближайшей обочины, до какого-нибудь мотеля там… мотыля этого ихнего… гармонь в руки, Сажечку и давай наяривать -- а херли, плохо живём, что ль?! ",61746:902:26,inan sing femn
161, ценопя отэ апит -- латомбо йокпярт уме,йинхи,ему тряпкой обмотал -- типа это японец ,ихний, -- ,ну как бы заложник. ,"Алексей Шепелев. Кгыышфт Вшытундф-ТВ (2008) // «Волга», 2011",Алексей Шепелев,,Кгыышфт Вшытундф-ТВ,2008,художественная,повесть,,«Волга»,2011,журнал,омонимия снята автоматически,"Взял Сажечку, голову ему тряпкой обмотал -- типа это японец ихний -- ну как бы заложник. ",61746:967:9,anim sing masc
162," тйас он ,мрофнИтидерК овтснега еокен ьтсе",йинхи,"есть некое агенство КредитИнформ, но сайт ",ихний, ,не работает. ,"Форум: Бюро Кредитных Историй. Как найти Кредитную историю, как получить и прочие вопросы (2007-2008)",коллективный,,"Форум: Бюро Кредитных Историй. Как найти Кредитную историю, как получить и прочие вопросы",2007-2008,электронная коммуникация | нехудожественная,форум,"бизнес, коммерция, экономика, финансы",,,электронный текст,омонимия снята автоматически,"В и-нете нашел, что есть некое агенство КредитИнформ, но сайт ихний не работает. ",24869:104:10,
163," умокснешан к яслитарбо -- ,диноеЛ ,йашулсоП",йинхи,"Послушай, Леонид, -- обратился к нашенскому ",ихний,. ,,Василий Аксенов. Таинственная страсть (2007),Василий Аксенов,1932,Таинственная страсть,2007,художественная,роман,,Аксенов В. П. Таинственная страсть. Роман о шестидесятниках,2009,книга,омонимия снята автоматически,"Послушай, Леонид, -- обратился к нашенскому ихний. ",21802:8406:5,
164," ясливижо -- ,юнсяъбо сачйеС",йинхи,"Сейчас объясню, -- оживился ",ихний,. ,,Василий Аксенов. Таинственная страсть (2007),Василий Аксенов,1932,Таинственная страсть,2007,художественная,роман,,Аксенов В. П. Таинственная страсть. Роман о шестидесятниках,2009,книга,омонимия снята автоматически,"Сейчас объясню, -- оживился ихний. ",21802:8416:3,
165, еилимаф А,еинхи,А фамилие ,ихние, ,как? ,"Михаил Гиголашвили. Адский рай // «Зарубежные записки», 2007",Михаил Гиголашвили,1954,Адский рай,2007,художественная,рассказ,,«Зарубежные записки»,2007,журнал,омонимия снята автоматически,А фамилие ихние как? ,22753:329:2,
166," иинемрА в ,хин У",йенхи,"У них, в Армении ",ихней,", ","всюду камни, камни, камни -- ужас! ",Михаил Гиголашвили. Чертово колесо (2007),Михаил Гиголашвили,1954,Чертово колесо,2007,художественная,роман,,М. Гиголашвили. Чертово колесо,2009,книга,омонимия снята автоматически,"У них, в Армении ихней, всюду камни, камни, камни -- ужас! ",22751:6231:4,inan plur masc
167," ,еонреван ,отЭ",йинхи,"Это, наверное, ",ихний, ,бесий бог. ,Михаил Гиголашвили. Чертово колесо (2007),Михаил Гиголашвили,1954,Чертово колесо,2007,художественная,роман,,М. Гиголашвили. Чертово колесо,2009,книга,омонимия снята автоматически,"Это, наверное, ихний бесий бог. ",22751:10299:2,inan plur neut
168, ан жохоп ренйалаива йовокувзхревс шаН,йинхи,Наш сверхзвуковой авиалайнер похож на ,ихний, «,"конкорд», а отечественная бас-гитара не может",М. А. Захаров. Театр без вранья (2007),М. А. Захаров,1933,Театр без вранья,2007,публицистика | нехудожественная,мемуары,искусство и культура,М. А. Захаров. Театр без вранья,2008,книга,омонимия снята автоматически,"Наш сверхзвуковой авиалайнер похож на ихний «конкорд», а отечественная бас-гитара не может выполнять функции фагота. ",24672:650:5,inan sing masc
169, то ротавитьлук шан умотоП,огенхи,Потому наш культиватор от ,ихнего, ,"и отличается, что он под лопушник","Святослав Логинов. Высокие технологии // «Наука и жизнь», 2007",Святослав Логинов,,Высокие технологии,2007,художественная,рассказ,,«Наука и жизнь»,2007,журнал,омонимия снята автоматически,"Потому наш культиватор от ихнего и отличается, что он под лопушник заточен, а не под манжетку или полынь. ",36991:110:4,inan sing masc
170,,еинхИ,,Ихние, ,интересы меня не привлекают. ,"Евгения Пищикова. Пятиэтажная Россия (2007) // «Русская Жизнь», 2008",Евгения Пищикова,,Пятиэтажная Россия,2007,художественная,очерк | цикл,,«Русская Жизнь»,2008,электронное издание,омонимия снята автоматически,Ихние интересы меня не привлекают. ,23582:1535:0,inan plur masc
171, йонневтсбос ялд дерв йес я отч,йенхи,что я сей вред для собственной ,ихней, ,пользы делаю». ,Учебник по обществознанию. Профильный уровень. 10 класс (2007),коллективный,,Учебник по обществознанию. Профильный уровень. 10 класс,2007,учебно-научная | нехудожественная,учебник,наука и технологии | политология | социология,"Смирнова А.Ю., Боголюбов Н.М., Лазебникова Л. Н. Учебник по обществознанию. Профильный уровень. 10 класс",2007,,омонимия снята автоматически,"И всякий раз будет при этом слезы проливать и приговаривать: «Видит Бог, что я сей вред для собственной ихней пользы делаю». ",42454:2211:18,inan sing femn
172," отч умотоп ,тяортс ен оннемерв иленнот",йинхи,"тоннели временно не строят, потому что ",ихний, ,Ловат привезли к нам и будут,Форум: В каких городах сейчас ведется реальное строительство метро? (2007),коллективный,,Форум: В каких городах сейчас ведется реальное строительство метро?,2007,электронная коммуникация | нехудожественная,форум,транспорт | строительство и архитектура,,,электронный текст,омонимия снята автоматически,"В Казани, по-моему, сейчас тоннели временно не строят, потому что ихний Ловат привезли к нам и будут рыть перегон Российская-Алабинская, щит сейчас собирают огромным гладким жёлтым краном с надписью на стреле «Тольяттиазот». ",25144:42:10,inan plur femn
173, в алшаз окьлот как оН,еинхи,Но как только зашла в ,ихние, ,"магазины, сразу думаю -- нет, убожество сплошное. ",С. А. Самсонов. Аномалия Камлаева (2006-2007),С. А. Самсонов,1980,Аномалия Камлаева,2006-2007,художественная,роман,,"С. А. Самсонов, «Аномалия Камлаева»",2008,книга,омонимия снята автоматически,"Но как только зашла в ихние магазины, сразу думаю -- нет, убожество сплошное. ",23863:1337:5,inan plur masc
174,,йинхИ,,Ихний, ,тренер только рот раскрыл. ,"В. Е. Голубев. Шаг назад // «Полдень, XXI век», 2006, №6, 2006",В. Е. Голубев,1954,Шаг назад,2006,художественная,рассказ,,"«Полдень, XXI век», 2006, №6",2006,журнал,омонимия снята автоматически,Ихний тренер только рот раскрыл. ,22788:1416:0,anim sing masc
175,,йинхИ,,Ихний, ,"букет, я сразу эта заметил, был",А. Е. Рекемчук. Мамонты (2006),А. Е. Рекемчук,1927,Мамонты,2006,художественная,роман,,"Рекемчук А. Е. Мамонты. М.: МИК, 2006",2006,книга,омонимия снята автоматически,"Ихний букет, я сразу эта заметил, был куда богаче, нежели школьные тюльпаны, предназначенные мне. ",23785:118:0,inan sing masc
176," йищюажарбози ,кеволеч шан теаджоворпос еЕ",огенхи,"Ее сопровождает наш человек, изображающий ",ихнего,. ,,А. Е. Рекемчук. Мамонты (2006),А. Е. Рекемчук,1927,Мамонты,2006,художественная,роман,,"Рекемчук А. Е. Мамонты. М.: МИК, 2006",2006,книга,омонимия снята автоматически,"Ее сопровождает наш человек, изображающий ихнего. ",23785:9263:5,
177, ан яиненсяъбо итэ лидовереп цето а,йинхи,а отец переводил эти объяснения на ,ихний, ,язык. ,А. Е. Рекемчук. Мамонты (2006),А. Е. Рекемчук,1927,Мамонты,2006,художественная,роман,,"Рекемчук А. Е. Мамонты. М.: МИК, 2006",2006,книга,омонимия снята автоматически,"Депарма объяснял им, кто да что, а отец переводил эти объяснения на ихний язык. ",23785:9658:12,inan sing masc
178, -- икичьлам И,еинхи,И мальчики -- ,ихние, ,"мальчики, смуглые, чернявые, очень бойкие -- лезли",А. Е. Рекемчук. Мамонты (2006),А. Е. Рекемчук,1927,Мамонты,2006,художественная,роман,,"Рекемчук А. Е. Мамонты. М.: МИК, 2006",2006,книга,омонимия снята автоматически,"И мальчики -- ихние мальчики, смуглые, чернявые, очень бойкие -- лезли к нам на веранду, где мы завтракали, обедали и ужинали, -- перелезали через барьер и без лишних экивоков начинали лапать, тискать, целовать наших девочек, восклицая: «О, Светлана!», «О, Наташа!» -- ведь они еще не знали ни слова по-русски, вот только эти имена… ",23785:10285:2,anim plur masc
179," а ,тюадижод ино удебо к умам",яянхи,"маму к обеду они дожидают, а ",ихняя, ,мама погибла к тому ж!» Я,Н. Д. Старосельская. Повседневная жизнь «русского» Китая (2006),Н. Д. Старосельская,1951,Повседневная жизнь «русского» Китая,2006,публицистика | нехудожественная,монография,частная жизнь | история | политика и общественная жизнь | администрация и управление,"Н. Д. Старосельская. Повседневная жизнь «русского» Китая. М.: Молодая гвардия, 2006",2006,книга,омонимия снята автоматически,"Так знай же, о, знай же, шофер ты жестокий, а может, в собачки есть дети и муж, и маму к обеду они дожидают, а ихняя мама погибла к тому ж!» Я смеялась: «Это вы сами сочинили!» -- «Клянусь, портниха! ",24373:2932:24,anim sing femn
180,""" икчодзевз ежу ,ьшидив ,ноВ",еинхи,"Вон, видишь, уже звездочки """,ихние,""" ","подтянулись, лапша говорят. ",...Всех задерживаем... (форум) (2005-2007),,,...Всех задерживаем... (форум),2005-2007,электронная коммуникация | нехудожественная,форум,политика и общественная жизнь,,,электронный текст,омонимия снята автоматически,"Вон, видишь, уже звездочки ""ихние"" подтянулись, лапша говорят. ",25153:251:4,inan sing femn
181,""" икчодзевз ежу ,ьшидив ,ноВ",еинхи,"Вон, видишь, уже звездочки """,ихние,""" ","подтянулись, лапша говорят. ",...Всех задерживаем... (форум) (2005-2007),,,...Всех задерживаем... (форум),2005-2007,электронная коммуникация | нехудожественная,форум,политика и общественная жизнь,,,электронный текст,омонимия снята автоматически,"Вон, видишь, уже звездочки ""ихние"" подтянулись, лапша говорят. ",25153:262:4,inan sing femn
182, йымаС,йинхи,Самый ,ихний, ,верховный мусульманин ребятам в благодарность подписал. ,Анна Берсенева. Возраст третьей любви (2005),Анна Берсенева,,Возраст третьей любви,2005,художественная,роман,,Анна Берсенева. Возраст третьей любви,2005,книга,омонимия снята автоматически,Самый ихний верховный мусульманин ребятам в благодарность подписал. ,33861:3134:1,anim sing masc
183,"« и »хишан« и видусо ,илировогоп оньлетачемаЗ",хинхи,"Замечательно поговорили, осудив и «наших» и «",ихних,». ,,С. Н. Есин. Дневник (2005),С. Н. Есин,1935,Дневник,2005,бытовая | нехудожественная,"дневник, записные книжки",частная жизнь | политика и общественная жизнь | искусство и культура,,,электронное издание,омонимия снята автоматически,"Замечательно поговорили, осудив и «наших» и «ихних». ",20292:6249:6,
184," отч ,ливяаз ыплот луг йыньлетирбодо доп",яянхи,"под одобрительный гул толпы заявил, что ",ихняя, ,"ЛДПР постарается, чтоб арестованного за неудачное",С. Н. Есин. Дневник (2005),С. Н. Есин,1935,Дневник,2005,бытовая | нехудожественная,"дневник, записные книжки",частная жизнь | политика и общественная жизнь | искусство и культура,,,электронное издание,омонимия снята автоматически,"Митрофанов, выкормыш Жириновского, под одобрительный гул толпы заявил, что ихняя ЛДПР постарается, чтоб арестованного за неудачное покушение на Чубайса взрывника выпустили под подписку о невыезде (для очередной, что ли, попытки?). ",20292:6624:9,inan sing femn
185, я умот ьмес теЛ,еинхи,Лет семь тому я ,ихние, ,биографии на политинформации в школе докладывал,"Александр Иличевский. Бутылка (2005) // «Зарубежные записки», 2008",Александр Иличевский,1970,Бутылка,2005,художественная,повесть,,«Зарубежные записки»,2008,журнал,омонимия снята автоматически,Лет семь тому я ихние биографии на политинформации в школе докладывал: была у нас такая бодяга -- по утрам на первом уроке вырезки из «Правды» по очереди расписывали вслух перед классом... ,22902:338:4,inan sing femn
186, утен :жепик в ен ьтуч ино,йенхи,они чуть не в кипеж: нету ,ихней, ,визы. ,"Александр Иличевский. Бутылка (2005) // «Зарубежные записки», 2008",Александр Иличевский,1970,Бутылка,2005,художественная,повесть,,«Зарубежные записки»,2008,журнал,омонимия снята автоматически,А они чуть не в кипеж: нету ихней визы. ,22902:477:7,inan sing femn
187," ан мобар ,унатс ьтатобар амрадаз ,ьтатичыв",еинхи,"вычитать, задарма работать стану, рабом на ",ихние, ,галеры пойду -- только бы подорвать эту,"Александр Иличевский. Бутылка (2005) // «Зарубежные записки», 2008",Александр Иличевский,1970,Бутылка,2005,художественная,повесть,,«Зарубежные записки»,2008,журнал,омонимия снята автоматически,"Решил -- потом просто не буду в счет зарплаты проценты вычитать, задарма работать стану, рабом на ихние галеры пойду -- только бы подорвать эту лодку, чтоб ни атома от нее не осталось. ",22902:901:15,inan sing femn
